	col0_1	col0_2	col0_3	ring1ab_1	ring1ab_2	ring1ab_3	emf1_1	emf1_2	emf1_3	clfswn_1	clfswn_2	clfswn_3
AT2G39900	28.80194	30.55792	30.34806	32.93303	36.84572	33.65218	22.27309	18.10233	19.72989	23.7071	23.72116	27.02811
AT2G39910	2.915564	3.424848	3.683467	4.054031	3.777586	2.548988	5.443323	5.815249	6.475395	4.738423	3.584416	4.070116
AT2G39920	6.655769	4.701796	6.162794	5.126504	3.826577	3.22305	1.329743	1.469769	1.042802	3.36234	4.707995	4.284094
AT2G39930	29.24468	28.90339	29.94456	25.30701	25.04945	26.31333	26.69143	26.08585	22.58037	23.48947	21.18606	23.61336
AT2G39940	13.16567	15.16194	15.39567	12.22909	14.71331	13.81067	15.20312	15.85279	15.21281	10.83344	9.628045	11.24431
AT2G39950	23.99114	24.68661	26.35248	21.18989	10.44302	20.51088	27.33684	26.51098	24.80076	20.83527	19.27095	18.09227
AT2G39960	30.87636	33.96098	32.96263	40.86776	41.3192	35.71941	41.70471	42.25796	52.25825	52.77391	52.67951	49.11949
AT2G39970	46.06739	49.33353	46.48902	48.30141	45.90678	51.00593	76.25648	78.44953	73.31575	54.0629	59.13991	55.74713
AT2G39975	0	0	0	0	0	0.276991	0	0	0	0.188236	0	0
AT2G39980	8.918891	9.53887	8.93445	16.33615	14.19378	24.93639	12.65988	9.693871	9.46163	70.55985	36.92147	34.54942
AT2G39990	73.45696	82.65299	80.81585	69.81081	70.78098	73.96868	78.68577	84.64655	76.21992	103.3982	105.0435	105.3801
AT2G40000	95.14513	92.06303	102.5741	331.0419	161.5916	245.3175	63.60443	85.62498	62.7065	45.76009	39.28556	34.39558
AT2G40004	0	0	0	0	0	0	0	0	0.130368	0	0	0
AT2G40008	0.35123	0.384885	1.205883	0.121593	0.554387	0.573462	1.897772	0.713472	0.328295	1.311299	0.63278	0.815699
AT2G40010	3.642306	5.179276	4.877129	6.943905	7.149649	6.614972	6.964179	8.37623	7.143342	10.55125	10.99342	10.39831
AT2G40020	11.55447	10.68652	10.63495	6.39012	6.378683	5.591985	6.577833	5.303859	6.256444	2.955932	3.64623	4.630312
AT2G40030	2.537753	2.595842	3.08353	7.768173	9.28529	7.258203	6.754421	6.635897	5.639204	7.172915	6.356281	6.734186
AT2G40050	0.083907	0.182711	0.042798	0.055993	0.073605	0	0	0.027995	0.15243	0.037568	0.062348	0.129224
AT2G40060	136.9725	149.1329	154.4225	138.2596	148.8678	151.5762	125.1832	137.6005	140.6519	125.7844	132.383	125.2955
AT2G40070	19.88975	21.39216	25.41351	20.91545	19.42171	22.80001	35.85654	30.84822	24.80188	24.2323	23.31371	22.51771
AT2G40080	44.47056	51.73373	54.41769	35.15554	35.71011	30.95802	87.6908	83.85604	90.06085	21.20496	23.79774	27.61707
AT2G40081	0	0	0	0.136383	0	0	0.507272	0.300769	0.235728	0	0	0
AT2G40085	7.233012	3.620087	4.283055	4.698243	4.40821	4.164395	2.918225	3.077409	3.675911	2.976603	2.277164	3.623098
AT2G40090	8.147224	8.320084	8.916404	8.988521	8.448735	9.043594	7.322785	8.117892	8.671114	5.471905	6.392919	6.519744
AT2G40095	6.338527	8.41727	8.386881	20.01864	10.05895	10.27052	11.16845	16.1724	17.97792	11.21145	9.445877	11.33509
AT2G40100	8.269827	9.985442	7.393662	15.84218	17.91602	14.50531	44.95549	46.01214	50.77231	30.98717	26.63926	30.59312
AT2G40110	22.5142	25.69142	27.3033	18.65072	21.45195	21.43978	16.46148	17.37768	19.89449	11.02281	10.75899	10.90141
AT2G40113	11.73572	13.73063	16.5394	12.84877	13.88104	16.03977	5.93439	3.124038	3.854546	10.73966	5.895574	4.474297
AT2G40116	0	0.092708	0	0	0.021631	0.049064	0.023771	0.049693	0	0	0.023592	0
AT2G40120	3.915234	3.938388	3.270182	2.967589	3.889411	3.517408	1.422356	0.897086	0.913106	1.223075	0.919549	1.445346
AT2G40130	1.211045	1.285872	1.72475	1.168634	1.07791	0.8074202	0.550143	0.549193	0.284534	0.349167	0.148222	0.368332
AT2G40140	13.73104	16.35554	17.48273	77.7175	36.25912	54.3986	44.15174	48.58502	41.42795	25.30775	23.85547	21.30802
AT2G40150	4.054212	5.209371	4.424451	7.647431	7.211861	8.552037	2.074809	1.228138	1.761806	3.885707	4.260182	3.946175
AT2G40160	3.356343	3.772384	5.206004	3.708606	3.662827	3.187522	2.36817	2.116066	2.574139	2.246367	2.379534	2.73386
AT2G40170	0.077	0	0.08859	0.327712	0.457076	0.319543	41.37368	27.01318	13.33028	425.0017	507.4856	417.1071
AT2G40180	0.121144	0.13946	0.165512	0.547708	0.320115	0.481022	0.429472	1.344229	1.081573	0.756764	0.802615	0.850815
AT2G40190	6.018687	6.992643	8.832667	6.924593	6.624504	8.251554	8.599294	8.204108	7.187294	6.232836	6.052281	6.915247
AT2G40200	0.535705	0.567276	0.712262	0.797083	1.647568	1.299298	10.43134	9.245787	10.04709	4.557072	7.084289	6.346213
AT2G40205	7.911	11.49091	8.862196	19.49583	14.9076	10.25062	10.49236	17.32208	23.43352	423.1592	452.6552	517.9274
AT2G40210	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40220	0	0	0	6.578788	10.40971	7.604815	31.07069	20.90497	19.92493	64.24624	71.40923	66.59059
AT2G40230	5.369898	6.27302	6.753213	5.550698	5.840679	5.434063	2.595386	2.100854	2.394472	3.693355	4.361961	3.890006
AT2G40233	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40240	1.282576	2.15368	2.625768	4.155314	4.023098	3.718551	5.43676	5.100202	6.481259	6.851529	7.128251	7.311012
AT2G40250	0.456729	0.461528	0	0.097099	0.833682	0.223927	0.179232	0.31362	0.173968	0.423274	0.933087	0.542172
AT2G40260	8.055853	8.931674	9.142991	7.389166	6.99566	7.422306	32.16444	40.73494	34.05825	14.28354	12.54156	13.09275
AT2G40270	17.38192	19.67625	19.8381	44.34858	24.28731	32.56763	27.46228	30.95049	23.67772	13.4979	12.74191	11.57297
AT2G40280	10.80725	12.60534	11.64627	18.32126	17.25526	16.68623	17.92119	18.16491	18.71788	20.75657	25.33081	25.09025
AT2G40290	38.66566	38.69853	44.2625	35.81578	42.6151	42.56373	65.06057	58.97414	46.58959	45.19275	46.45948	44.80763
AT2G40300	86.92505	78.58713	85.82404	48.09236	39.15678	50.83397	46.65456	39.63479	44.91987	36.01496	35.77381	31.87045
AT2G40310	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40316	20.22821	21.77898	22.73233	17.43127	17.63755	19.09559	15.58895	15.48032	15.83329	18.49169	20.40737	17.79569
AT2G40320	6.415815	7.363694	6.546752	4.585361	6.444298	7.293278	0.41113	0.402769	0.459733	2.042328	1.549095	1.503202
AT2G40330	15.15306	18.77646	15.14019	21.49748	30.68961	29.56047	33.00818	34.79641	33.04065	33.94803	33.81875	27.2458
AT2G40340	3.154145	2.901078	2.722042	3.922494	3.975266	3.669258	8.567378	9.582193	12.29171	4.898408	5.192949	3.226085
AT2G40350	0.404237	0.416688	1.064631	0.502656	1.186951	0.883198	0.586836	0.221485	0.989751	0.143107	0	0
AT2G40360	46.94223	51.8297	51.63847	44.80343	48.62405	49.36355	66.94398	62.96855	58.09788	70.77349	69.17816	65.46942
AT2G40370	5.373541	6.926706	6.029477	5.809937	6.283712	6.474383	8.206349	5.938756	7.076496	4.765907	3.154425	3.099695
AT2G40380	24.71273	30.35648	29.16884	36.54865	24.69479	33.149	45.64946	44.9081	38.24	33.01244	31.0299	30.18189
AT2G40390	1.609946	2.500074	2.380883	0.804311	1.647205	1.78951	4.108476	2.85522	3.217973	3.241194	3.374065	3.759221
AT2G40400	14.03071	15.2352	15.86687	14.37467	15.7798	12.81917	13.4216	13.80817	15.33293	16.12498	14.24956	18.12362
AT2G40410	24.54843	23.77503	24.64798	20.48364	22.16122	22.12747	24.89275	27.00422	27.47947	14.8683	13.75451	12.14773
AT2G40420	14.88968	12.76059	14.83299	11.03333	9.05764	11.04926	5.126594	6.197719	5.532203	3.771586	2.503662	3.503855
AT2G40430	36.90021	36.09873	40.61749	35.86873	39.57341	37.40881	56.00952	60.99543	55.6286	66.24008	72.74812	70.79303
AT2G40435	1.005472	1.195105	0.900008	1.717623	2.087632	2.123822	2.241901	2.341431	2.794622	5.621767	7.364847	6.544923
AT2G40440	0	0	0.095915	0	0	0	0	0	0	0	0.273433	0.081194
AT2G40450	0	0	0	1.649105	1.960566	1.673856	0.221696	0.505253	0.42007	2.61874	1.252321	1.734524
AT2G40460	4.60038	5.625385	5.847229	2.737199	2.445106	2.94414	9.244702	8.591949	9.946905	13.39361	8.646512	9.597193
AT2G40470	2.067929	2.029112	1.696262	3.6718	4.068847	3.743281	0.929159	0.438441	0.534506	6.597034	4.925413	6.501737
AT2G40475	7.929919	7.783783	8.733308	7.2675	10.60975	8.419331	3.05668	3.568473	3.874876	3.96464	3.47516	4.413689
AT2G40480	4.560132	5.877407	5.894588	6.759836	7.585001	6.183835	3.838336	2.999883	3.60315	6.132096	6.108472	5.092721
AT2G40490	71.60493	72.73456	67.4637	56.96212	50.86393	49.34512	44.56802	33.39914	38.7635	31.36209	22.25439	26.94502
AT2G40500	0	0	0	0.169385	0.154898	0.117712	0	0.05971	0	0	0	0
AT2G40510	65.03464	64.71533	66.73603	67.73537	70.73846	65.31401	92.57027	74.14954	98.62289	84.9773	80.46442	85.46276
AT2G40520	1.975991	2.56373	2.293241	4.5233	4.335346	4.464316	0.7917099	0.5143427	1.113208	1.105461	0.555878	0.9617412
AT2G40530	1.198832	3.007473	2.091012	1.31125	2.102187	2.33816	0.1435	0.599967	0.279458	0.750782	1.471848	0.97656
AT2G40540	21.21548	22.77964	23.38637	18.46349	19.15003	20.50853	15.37345	14.26357	12.2495	13.56178	12.58104	12.34079
AT2G40550	4.74461	6.044699	4.332575	7.142665	7.617266	6.371639	21.70599	21.20859	18.10608	20.35416	19.37914	20.35503
AT2G40560	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40570	6.993282	6.711506	7.742314	5.851305	7.118153	5.773047	4.866772	5.82977	5.766726	5.196846	4.159959	4.16569
AT2G40580	0	0	0	0.091786	0.201639	0.045922	0	0.090851	0.086729	0	0	0
AT2G40590	45.05401	51.6689	50.98525	61.12373	62.87635	50.79697	74.05975	64.00695	79.84914	58.66768	59.50809	56.82696
AT2G40600	28.80138	27.10177	28.93537	26.34148	27.28923	27.56935	22.1085	24.65933	28.58472	20.24158	20.62738	17.0653
AT2G40610	49.96247	50.33725	47.42482	35.46804	33.88425	50.89002	3.1864	3.369904	3.844778	1.736654	3.313041	3.607385
AT2G40620	15.78827	14.70463	15.25358	16.77397	16.69948	17.28765	15.06783	11.84107	13.39762	15.10835	13.23059	12.51466
AT2G40630	5.229426	4.631998	5.139157	4.16059	4.417902	4.70337	6.621269	6.487993	6.828238	5.179612	5.992419	4.610326
AT2G40640	9.762392	9.55283	10.26357	10.06732	8.804892	10.03819	8.273234	8.395876	6.152521	7.854188	6.977069	6.174711
AT2G40650	28.51102	31.2258	32.20343	30.64712	29.86102	28.64296	38.32897	39.76991	39.25635	39.24403	41.20227	41.43123
AT2G40660	24.72952	28.32364	29.59749	28.336	31.66762	26.30144	41.59694	40.70954	43.55644	36.43636	38.51238	36.52553
AT2G40670	10.80216	11.19959	10.2726	2.932669	2.413504	1.994802	0.7138792	0.3534803	0.5346201	0.550989	0.8891605	0.6821004
AT2G40680	0.052518	0	0	0	0	0	0	0	0	0	0	0
AT2G40690	5.948576	5.739836	6.359402	5.558204	6.218984	4.670971	4.812932	4.283601	4.478632	4.135883	4.072936	4.056294
AT2G40700	8.918959	10.11439	9.56172	8.441759	9.601036	8.108897	16.72463	15.84549	15.0234	16.3565	16.75947	15.61463
AT2G40710	1.394958	1.314288	0.597188	1.204472	0.806124	1.208217	0.440746	0.871394	1.131444	0.622173	0.815816	0.818569
AT2G40711	2.346588	2.07348	2.777277	2.212336	1.572747	1.412346	3.013212	2.732463	2.764722	1.268293	1.615541	1.277296
AT2G40720	0.546277	0.604255	1.098158	1.013216	1.013463	0.726459	1.913676	1.751188	2.029602	1.103798	1.000826	1.332063
AT2G40730	24.08174	24.92055	25.70891	23.68629	23.47387	24.45827	27.47445	26.07075	26.86376	19.99017	20.15192	19.62442
AT2G40740	0.060197	0	0.17387	0	0.3488885	0	0.588932	0.3797128	0.9106232	0	0.067323	0.07919878
AT2G40745	0	0	0	0	0	0	0	0	0	0	0	0
AT2G40750	0.703539	0.791409	0.565726	1.279686	0.486475	0.821619	4.773868	5.103924	5.786323	1.165841	0.703895	1.096785
AT2G40760	16.13016	16.7407	19.10753	12.78408	10.67517	11.84405	7.787695	8.106027	7.281791	8.573357	8.555387	7.61928
AT2G40765	53.64922	60.71265	55.0814	98.86091	108.054	67.00262	54.16902	77.9181	138.8971	156.4756	154.6338	161.7148
AT2G40770	4.298555	4.559259	4.720895	5.14836	4.926468	5.476584	5.696144	5.576713	5.168199	4.388346	5.305907	4.776568
AT2G40780	4.023467	4.882408	4.445215	4.534886	4.802269	4.157614	6.683949	7.554751	7.827964	6.236377	7.586214	6.740371
AT2G40790	0	0.057445	0.062764	0.369307	0.181731	0.50061	0.053857	0.27445	0.11724	0.585157	0.905521	0.760083
AT2G40800	19.38418	21.71075	22.68192	20.31377	20.84617	21.62784	23.4332	27.4933	23.12393	28.1617	29.38511	30.83762
AT2G40802	0.325457	0.39277	0.166004	1.436527	1.154142	1.040182	2.423631	2.030782	5.418509	2.890309	3.490711	1.323158
AT2G40805	0.02307	0	0.159313	0	0	0	0.05693	0	0.421485	0.178777	0.283751	0
AT2G40810	4.372588	4.643082	4.032872	2.890965	2.930951	2.851924	4.225132	4.794725	3.257252	3.251693	3.045334	3.044052
AT2G40815	8.289687	8.601146	8.538424	9.956325	10.23835	11.3469	18.19545	15.90069	13.16343	12.36463	11.04199	9.077865
AT2G40820	8.744867	11.04562	11.03433	11.66596	12.6703	11.64336	5.075686	3.01348	4.070563	8.245396	8.46828	7.400832
AT2G40830	19.87483	19.02049	20.56615	20.03887	22.55804	21.90211	33.79109	31.36521	32.31233	36.6121	33.86704	32.70369
AT2G40840	29.19745	28.97572	28.30097	32.60466	35.77151	28.55242	126.1131	129.4628	117.4919	110.2872	118.9064	126.6787
AT2G40850	1.04206	1.375645	1.350472	1.209718	0.795109	0.766314	1.291673	1.693673	1.886151	0.914158	1.104806	1.005694
AT2G40860	9.24089	9.164433	9.199628	7.861452	9.279986	9.182525	9.079936	8.081079	6.971356	6.498822	6.269582	6.765614
AT2G40880	72.41098	75.21963	75.93931	72.31202	87.75006	67.25467	32.76793	47.34963	60.64391	29.29197	29.91112	25.3213
AT2G40890	35.77283	42.23609	39.11641	36.71486	45.36005	40.29984	47.05893	40.78663	40.6881	72.34666	76.33269	66.87859
AT2G40900	11.61442	16.56615	17.65252	6.199758	9.81534	8.984399	11.85518	9.266829	10.2252	11.72215	8.221523	7.344716
AT2G40910	0	0.031807	0	0.085249	0.119535	0.1009989	0.032622	0.1022937	0.095374	0.045758	0	0
AT2G40920	15.94817	16.73327	16.35544	11.54261	12.86855	12.23985	16.89658	14.69533	14.91868	17.35974	15.90454	16.96433
AT2G40925	0	0	0	0	0	0	0.037998	0	0.129606	0	0	0
AT2G40930	10.23472	9.679269	11.32612	9.492475	9.031004	9.086098	15.90215	16.43542	14.19426	11.06578	11.23949	9.597367
AT2G40935	4.11841	3.025958	2.809052	5.135582	3.51288	3.321759	2.852655	4.678789	4.088133	3.714515	3.93735	5.582681
AT2G40940	41.9399	44.53544	41.54033	55.59096	59.62065	62.30799	59.37811	63.2789	56.80605	47.25349	47.43326	48.14373
AT2G40950	11.83459	12.08384	12.46914	14.83826	16.47996	15.19468	33.48288	34.86235	32.34737	24.18027	23.85577	22.7804
AT2G40955	0.041201	0.107971	0.179338	0.088895	0.045255	0.012831	0	0.036474	0.060583	0.082465	0.290691	0.071985
AT2G40960	7.578948	7.622681	7.291988	2.215491	1.036473	1.275672	2.624738	1.855142	1.568142	3.795782	3.204943	3.525171
AT2G40970	15.423	20.42849	15.81486	19.92601	22.67877	29.39819	18.37318	19.37356	20.69271	8.474848	10.42704	9.667958
